ticker,name,sector_jp
6532.T,ベイカレント,情報通信・サービスその他
6594.T,ニデック,電機・精密
6645.T,オムロン,電機・精密
6701.T,NEC,電機・精密
6702.T,富士通,電機・精密
6723.T,ルネサスエレクトロニクス,電機・精密
6724.T,セイコーエプソン,電機・精密
6752.T,パナソニックHD,電機・精密
6753.T,シャープ,電機・精密
6758.T,ソニーグループ,電機・精密
6762.T,TDK,電機・精密
6770.T,アルプスアルパイン,電機・精密
6841.T,横河電機,電機・精密
6857.T,アドバンテスト,電機・精密
6861.T,キーエンス,電機・精密
6890.T,フェローテックホールディングス,電機・精密
6902.T,デンソー,自動車・輸送機
6920.T,レーザーテック,電機・精密
6954.T,ファナック,電機・精密
6963.T,ローム,電機・精密
6971.T,京セラ,電機・精密
6976.T,太陽誘電,電機・精密
6981.T,村田製作所,電機・精密
6988.T,日東電工,素材・化学
7004.T,カナデビア,機械
7011.T,三菱重工業,機械
7012.T,川崎重工業,自動車・輸送機
7013.T,ＩＨＩ,機械
7186.T,コンコルディア・フィナンシャルグループ,銀行
7201.T,日産自動車,自動車・輸送機
7202.T,いすゞ自動車,自動車・輸送機
7203.T,トヨタ自動車,自動車・輸送機
7211.T,三菱自動車工業,自動車・輸送機
7261.T,マツダ,自動車・輸送機
7267.T,ホンダ,自動車・輸送機
7269.T,スズキ,自動車・輸送機
7270.T,ＳＵＢＡＲＵ,自動車・輸送機
7272.T,ヤマハ発動機,自動車・輸送機
7453.T,良品計画,小売
7532.T,パン・パシフィック・インターナショナルホールディングス,小売
7729.T,東京精密,電機・精密
7731.T,ニコン,電機・精密
7733.T,オリンパス,電機・精密
7735.T,SCREENホールディングス,電機・精密
7741.T,ＨＯＹＡ,電機・精密
7751.T,キヤノン,電機・精密
7752.T,リコー,電機・精密
7832.T,バンダイナムコホールディングス,情報通信・サービスその他
7911.T,ＴＯＰＰＡＮホールディングス,情報通信・サービスその他
7912.T,大日本印刷,情報通信・サービスその他
7951.T,ヤマハ,情報通信・サービスその他
7974.T,任天堂,情報通信・サービスその他
8001.T,伊藤忠商事,商社・卸売
8002.T,丸紅,商社・卸売
8015.T,豊田通商,商社・卸売
8031.T,三井物産,商社・卸売
8035.T,東京エレクトロン,電機・精密
8053.T,住友商事,商社・卸売
8058.T,三菱商事,商社・卸売
8233.T,高島屋,小売
8252.T,丸井グループ,小売
8253.T,クレディセゾン,金融（除く銀行）
8267.T,イオン,小売
8304.T,あおぞら銀行,銀行
8306.T,三菱UFJフィナンシャル・グループ,銀行
8308.T,りそなホールディングス,銀行
8309.T,三井住友トラストグループ,銀行
8316.T,三井住友フィナンシャルグループ,銀行
8331.T,千葉銀行,銀行
8354.T,ふくおかフィナンシャルグループ,銀行
8411.T,みずほフィナンシャルグループ,銀行
8591.T,オリックス,金融（除く銀行）
8601.T,大和証券グループ本社,金融（除く銀行）
8604.T,野村ホールディングス,金融（除く銀行）
8630.T,ＳＯＭＰＯホールディングス,金融（除く銀行）
8697.T,日本取引所グループ,金融（除く銀行）
8725.T,ＭＳ＆ＡＤインシュアランスグループホールディングス,金融（除く銀行）
8750.T,第一生命ホールディングス,金融（除く銀行）
8766.T,東京海上HD,金融（除く銀行）
8795.T,Ｔ＆Ｄホールディングス,金融（除く銀行）
8801.T,三井不動産,不動産
8802.T,三菱地所,不動産
8804.T,東京建物,不動産
8830.T,住友不動産,不動産
9001.T,東武鉄道,運輸・物流
9005.T,東急,運輸・物流
9007.T,小田急電鉄,運輸・物流
9008.T,京王電鉄,運輸・物流
9009.T,京成電鉄,運輸・物流
9020.T,JR東日本,運輸・物流
9021.T,西日本旅客鉄道,運輸・物流
9022.T,JR東海,運輸・物流
9064.T,ヤマトホールディングス,運輸・物流
9101.T,日本郵船,運輸・物流
9104.T,商船三井,運輸・物流
9107.T,川崎汽船,運輸・物流
9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,運輸・物流
9201.T,日本航空,運輸・物流
9202.T,ＡＮＡホールディングス,運輸・物流
9432.T,NTT,情報通信・サービスその他
9433.T,KDDI,情報通信・サービスその他
9434.T,ソフトバンク,情報通信・サービスその他
9501.T,東京電力ホールディングス,電力・ガス
9502.T,中部電力,電力・ガス
9503.T,関西電力,電力・ガス
9531.T,東京瓦斯,電力・ガス
9532.T,大阪瓦斯,電力・ガス
9602.T,東宝,情報通信・サービスその他
9735.T,セコム,情報通信・サービスその他
9766.T,コナミグループ,情報通信・サービスその他
9843.T,ニトリHD,小売
9983.T,ファーストリテイリング,小売
9984.T,ソフトバンクグループ,情報通信・サービスその他
